HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
DLX5	distal-less_homeobox_5		P56178	ENSG00000105880	1	1	DLX5	a	DLX5	DLX5	DLX5	3.1.2.5.5	DLX5	DLX5	7	DLX5	PTHR24327	SF31	HOMEOBOX_PROTEIN_DLX-5
DLX6	distal-less_homeobox_6		P56179	ENSG00000006377	1	1	DLX6	a	DLX6	DLX6	DLX6	3.1.2.5.6	DLX6	DLX6	7	DLX6	PTHR24327	SF26	HOMEOBOX_PROTEIN_DLX-6
DMBX1	diencephalon/mesencephalon_homeobox_1		Q8NFW5	ENSG00000197587	1	1	DMBX1	b	DMBX1	DMBX1	DMBX1	3.1.3.4.1	DMBX1	DMBX1	7	DMBX1	PTHR46639	SF2	DIENCEPHALON/MESENCEPHALON_HOMEOBOX_PROTEIN_1
DMRT1	doublesex_and_mab-3_related_transcription_factor_1		Q9Y5R6	ENSG00000137090	1	1	DMRT1	a	DMRT1		DMRT1	2.5.1.0.1	DMRT1	DMRT1	6	DMRT1	PTHR12322	SF70	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_1
DMRT2	doublesex_and_mab-3_related_transcription_factor_2		Q9Y5R5	ENSG00000173253	1	1	DMRT2	a	DMRT2	DMRT2	DMRT2	2.5.1.0.2	DMRT2	DMRT2	7		PTHR12322	SF72	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_2
DMRT3	doublesex_and_mab-3_related_transcription_factor_3		Q9NQL9	ENSG00000064218	1	1	DMRT3	a		DMRT3	DMRT3	2.5.1.0.3	DMRT3	DMRT3	6	DMRT3	PTHR12322	SF73	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_3
DMRTA1	DMRT_like_family_A1		Q5VZB9	ENSG00000176399	1	1	DMRTA1	b		DMRTA1	DMRTA1	2.5.1.0.4	DMRTA1	DMRTA1	6	DMRTA1	PTHR12322	SF71	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_A1
DMRTA2	DMRT_like_family_A2		Q96SC8	ENSG00000142700	1	1	DMRTA2	b		DMRTA2	DMRTA2	2.5.1.0.5	DMRTA2	DMRTA2	6	DMRTA2	PTHR12322	SF76	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_A2
DMRTB1	DMRT_like_family_B_with_proline_rich_C-terminal_1		Q96MA1	ENSG00000143006	1	1	DMRTB1	b		DMRTB1	DMRTB1	2.5.1.0.6	DMRTB1	DMRTB1	6		PTHR12322	SF66	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_B1
DMRTC2	DMRT_like_family_C2		Q8IXT2	ENSG00000142025	1	1	DMRTC2	b		DMRTC2	DMRTC2	2.5.1.0.7	DMRTC2	DMRTC2	6	DMRTC2	PTHR12322	SF15	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_C2
DMTF1	cyclin_D_binding_myb_like_transcription_factor_1		Q9Y222	ENSG00000135164	1	1	DMTF1	a	DMTF1	DMTF1	DMTF1	3.5.1.7.1	DMTF1	DMTF1	7		PTHR46380	SF2	CYCLIN-D-BINDING_MYB-LIKE_TRANSCRIPTION_FACTOR_1
DPRX	divergent-paired_related_homeobox		A6NFQ7	ENSG00000204595	1	1	DPRX	b		DPRX	DPRX	3.1.3.5.1	DPRX	DPRX	6	DPRX	PTHR45793	SF15	DIVERGENT_PAIRED-RELATED_HOMEOBOX
DRGX	dorsal_root_ganglia_homeobox		A6NNA5	ENSG00000165606	1	1	DRGX	b	DRGX	DRGX	DRGX	3.1.3.6.1	DRGX	DRGX	7	DRGX	PTHR24329	SF542	DORSAL_ROOT_GANGLIA_HOMEOBOX_PROTEIN
DUX1	double_homeobox_1		O43812	-	1	1	DUX1		DUX1	DUX1			DUX1		3		PTHR46123		
DUX3	double_homeobox_3		Q96PT4	-	1	1				DUX3			DUX3		2		PTHR46123		
DUX4	double_homeobox_4		Q9UBX2	ENSG00000260596	1	1	DUX4		DUX4	DUX4	DUX4	3.1.3.7.5	DUX4	DUX4	6		PTHR46123		
DUX4L2	double_homeobox_4_like_2_(pseudogene)	pseudogene	P0CJ85	ENSG00000280457	1	1	DUX4L2			DUX4L2					1		PTHR46123		
DUX4L3	double_homeobox_4_like_3_(pseudogene)	pseudogene	P0CJ86	ENSG00000281627	1	1	DUX4L3			DUX4L3					1		PTHR46123		
DUX4L4	double_homeobox_4_like_4_(pseudogene)	pseudogene	P0CJ87	ENSG00000258834	1	1	DUX4L4			DUX4L4		3.1.3.7.9			2		PTHR46123		
DUX4L5	double_homeobox_4_like_5_(pseudogene)	pseudogene	P0CJ88	ENSG00000280799	1	1	DUX4L5			DUX4L5					1		PTHR46123	SF3	DOUBLE_HOMEOBOX_PROTEIN_1-RELATED
DUX4L6	double_homeobox_4_like_6_(pseudogene)	pseudogene	P0CJ89	ENSG00000281058	1	1	DUX4L6			DUX4L6					1		PTHR46123		
DUX4L7	double_homeobox_4_like_7_(pseudogene)	pseudogene	P0CJ90	ENSG00000281652	1	1	DUX4L7			DUX4L7					1		PTHR46123		
DUX4L8	double_homeobox_4_like_8_(pseudogene)	pseudogene	pseudogene	ENSG00000281720	1	0				DUX2					1				
DUX4L9	double_homeobox_4_like_9_(pseudogene)	pseudogene	Q6RFH8	ENSG00000224807	1	1				DUX4L9	DUX4L9				2		PTHR46123		
DUX5	double_homeobox_5		Q96PT3	-	1	1				DUX5					1		PTHR46123		
DUXA	double_homeobox_A		A6NLW8	ENSG00000258873	1	1	DUXA	b		DUXA	DUXA	3.1.3.7.1	DUXA	DUXA	6	DUXA	PTHR46123	SF1	DOUBLE_HOMEOBOX_PROTEIN_A
DUXB	double_homeobox_B		A0A1W2PPF3	ENSG00000282757	1	1								DUXB	1		PTHR46123	SF5	DOUBLE_HOMEOBOX_B
E2F1	E2F_transcription_factor_1		Q01094	ENSG00000101412	1	1	E2F1	a	E2F1	E2F1	E2F1	3.3.2.1.1	E2F1	E2F1	7	E2F1	PTHR12081	SF43	TRANSCRIPTION_FACTOR_E2F1
E2F2	E2F_transcription_factor_2		Q14209	ENSG00000007968	1	1	E2F2	a	E2F2	E2F2	E2F2	3.3.2.1.2	E2F2	E2F2	7	E2F2	PTHR12081	SF50	TRANSCRIPTION_FACTOR_E2F2
E2F3	E2F_transcription_factor_3		O00716	ENSG00000112242	1	1	E2F3	a	E2F3	E2F3	E2F3	3.3.2.1.3	E2F3	E2F3	7	E2F3	PTHR12081	SF44	TRANSCRIPTION_FACTOR_E2F3
E2F4	E2F_transcription_factor_4		Q16254	ENSG00000205250	1	1	E2F4	a	E2F4	E2F4	E2F4	3.3.2.1.4	E2F4	E2F4	7	E2F4	PTHR12081	SF42	TRANSCRIPTION_FACTOR_E2F4
E2F5	E2F_transcription_factor_5		Q15329	ENSG00000133740	1	1	E2F5	a	E2F5	E2F5	E2F5	3.3.2.1.5	E2F5	E2F5	7		PTHR12081	SF35	TRANSCRIPTION_FACTOR_E2F5
E2F6	E2F_transcription_factor_6		O75461	ENSG00000169016	1	1	E2F6	a	E2F6	E2F6	E2F6	3.3.2.1.6	E2F6	E2F6	7		PTHR12081	SF19	TRANSCRIPTION_FACTOR_E2F6
E2F7	E2F_transcription_factor_7		Q96AV8	ENSG00000165891	1	1	E2F7	c	E2F7	E2F7	E2F7	3.3.2.1.7	E2F7	E2F7	7	E2F7	PTHR12081	SF25	TRANSCRIPTION_FACTOR_E2F7
E2F8	E2F_transcription_factor_8		A0AVK6	ENSG00000129173	1	1	E2F8	c	E2F8	E2F8	E2F8	3.3.2.1.8	E2F8	E2F8	7	E2F8	PTHR12081	SF40	TRANSCRIPTION_FACTOR_E2F8
E4F1	E4F_transcription_factor_1		Q66K89	ENSG00000167967	1	1	E4F1	a	E4F1	E4F1	E4F1	2.3.4.0.74	E4F1	E4F1	7		PTHR24390	SF94	TRANSCRIPTION_FACTOR_E4F1
EBF1	EBF_transcription_factor_1		Q9UH73	ENSG00000164330	1	1	EBF1	a	EBF1	EBF1	EBF1	6.1.5.0.1	EBF1	EBF1	7		PTHR10747	SF26	TRANSCRIPTION_FACTOR_COE1
EBF2	EBF_transcription_factor_2		Q9HAK2	ENSG00000221818	1	1	EBF2		EBF2	EBF2	EBF2	6.1.5.0.2	EBF2	EBF2	6		PTHR10747	SF33	TRANSCRIPTION_FACTOR_COE2
EBF3	EBF_transcription_factor_3		Q9H4W6	ENSG00000108001	1	1	EBF3	a	EBF3	EBF3	EBF3	6.1.5.0.3	EBF3	EBF3	7		PTHR10747	SF4	TRANSCRIPTION_FACTOR_COE3
EBF4	EBF_family_member_4		Q9BQW3	ENSG00000088881	1	1	EBF4	b	EBF4	EBF4	EBF4	6.1.5.0.4	EBF4	EBF4	7		PTHR10747	SF36	TRANSCRIPTION_FACTOR_COE4
EGR1	early_growth_response_1		P18146	ENSG00000120738	1	1	EGR1	a	EGR1	EGR1	EGR1	2.3.1.3.1	EGR1	EGR1	7	EGR1	PTHR23235	SF42	EARLY_GROWTH_RESPONSE_PROTEIN_1
EGR2	early_growth_response_2		P11161	ENSG00000122877	1	1	EGR2	a	EGR2	EGR2	EGR2	2.3.1.3.2	EGR2	EGR2	7	EGR2	PTHR23235	SF54	E3_SUMO-PROTEIN_LIGASE_EGR2
EGR3	early_growth_response_3		Q06889	ENSG00000179388	1	1	EGR3	a	EGR3	EGR3	EGR3	2.3.1.3.3	EGR3	EGR3	7	EGR3	PTHR23235	SF78	EARLY_GROWTH_RESPONSE_PROTEIN_3
EGR4	early_growth_response_4		Q05215	ENSG00000135625	1	1	EGR4	b	EGR4	EGR4	EGR4	2.3.1.3.4	EGR4	EGR4	7	EGR4	PTHR23235	SF58	EARLY_GROWTH_RESPONSE_PROTEIN_4
EHF	ETS_homologous_factor		Q9NZC4	ENSG00000135373	1	1	EHF	a	EHF	EHF	EHF	3.5.2.4.1	EHF	EHF	7		PTHR11849	SF171	ETS_HOMOLOGOUS_FACTOR
ELF1	E74_like_ETS_transcription_factor_1		P32519	ENSG00000120690	1	1	ELF1	a	ELF1	ELF1	ELF1	3.5.2.3.1	ELF1	ELF1	7	ELF1	PTHR11849	SF156	ETS-RELATED_TRANSCRIPTION_FACTOR_ELF-1
ELF2	E74_like_ETS_transcription_factor_2		Q15723	ENSG00000109381	1	1	ELF2	a	ELF2	ELF2	ELF2	3.5.2.3.2	ELF2	ELF2	7	ELF2	PTHR11849	SF10	ETS-RELATED_TRANSCRIPTION_FACTOR_ELF-2
ELF3	E74_like_ETS_transcription_factor_3		P78545	ENSG00000163435	1	1	ELF3	a	ELF3	ELF3	ELF3	3.5.2.4.2	ELF3	ELF3	7	ELF3	PTHR11849	SF13	ETS-RELATED_TRANSCRIPTION_FACTOR_ELF-3
ELF4	E74_like_ETS_transcription_factor_4		Q99607	ENSG00000102034	1	1	ELF4	a	ELF4	ELF4	ELF4	3.5.2.3.3	ELF4	ELF4	7	ELF4	PTHR11849	SF170	ETS-RELATED_TRANSCRIPTION_FACTOR_ELF-4
ELF5	E74_like_ETS_transcription_factor_5		Q9UKW6	ENSG00000135374	1	1	ELF5	a	ELF5	ELF5	ELF5	3.5.2.4.3	ELF5	ELF5	7	ELF5	PTHR11849	SF15	ETS-RELATED_TRANSCRIPTION_FACTOR_ELF-5
ELK1	ETS_transcription_factor_ELK1		P19419	ENSG00000126767	1	1	ELK1	a	ELK1	ELK1	ELK1	3.5.2.2.1	ELK1	ELK1	7	ELK1	PTHR11849	SF178	ETS_DOMAIN-CONTAINING_PROTEIN_ELK-1
ELK3	ETS_transcription_factor_ELK3		P41970	ENSG00000111145	1	1	ELK3	a	ELK3	ELK3	ELK3	3.5.2.2.2	ELK3	ELK3	7	ELK3	PTHR11849	SF172	ETS_DOMAIN-CONTAINING_PROTEIN_ELK-3
ELK4	ETS_transcription_factor_ELK4		P28324	ENSG00000158711	1	1	ELK4	a	ELK4	ELK4	ELK4	3.5.2.2.3	ELK4	ELK4	7	ELK4	PTHR11849	SF21	ETS_DOMAIN-CONTAINING_PROTEIN_ELK-4
EMX1	empty_spiracles_homeobox_1		Q04741	ENSG00000135638	1	1	EMX1	b	EMX1	EMX1	EMX1	3.1.2.6.1	EMX1	EMX1	7	EMX1	PTHR24339	SF26	HOMEOBOX_PROTEIN_EMX1
EMX2	empty_spiracles_homeobox_2		Q04743	ENSG00000170370	1	1	EMX2	a	EMX2	EMX2	EMX2	3.1.2.6.2	EMX2	EMX2	7	EMX2	PTHR24339	SF25	HOMEOBOX_PROTEIN_EMX2
EN1	engrailed_homeobox_1		Q05925	ENSG00000163064	1	1	EN1	b	EN1	EN1	EN1	3.1.2.7.1	EN1	EN1	7	EN1	PTHR24341	SF4	HOMEOBOX_PROTEIN_ENGRAILED-1
EN2	engrailed_homeobox_2		P19622	ENSG00000164778	1	1	EN2	b	EN2	EN2	EN2	3.1.2.7.2	EN2	EN2	7	EN2	PTHR24341	SF5	HOMEOBOX_PROTEIN_ENGRAILED-2
ENO1	enolase_1		P06733	ENSG00000074800	1	1	ENO1		ENO1	ENO1	ENO1				3		PTHR11902	SF12	ALPHA-ENOLASE
EOMES	eomesodermin		O95936	ENSG00000163508	1	1	EOMES	a	EOMES	EOMES	EOMES		EOMES	EOMES	6	EOMES	PTHR11267	SF13	EOMESODERMIN_HOMOLOG
EPAS1	endothelial_PAS_domain_protein_1		Q99814	ENSG00000116016	1	1	EPAS1	a	EPAS1	EPAS1	EPAS1	1.2.5.1.7	EPAS1	EPAS1	7		PTHR23043	SF8	ENDOTHELIAL_PAS_DOMAIN-CONTAINING_PROTEIN_1
ERF	ETS2_repressor_factor		P50548	ENSG00000105722	1	1	ERF	a	ERF	ERF	ERF	3.5.2.1.10,3.5.2.1.11	ERF	ERF	7		PTHR11849	SF31	ETS_DOMAIN-CONTAINING_TRANSCRIPTION_FACTOR_ERF
ERFL	ETS_repressor_factor_like		A0A1W2PQ73	ENSG00000268041	1	1	ERFL							ERFL	1		PTHR11849	SF165	GENE_4881-RELATED
ERG	ETS_transcription_factor_ERG		P11308	ENSG00000157554	1	1	ERG	a	ERG	ERG	ERG	3.5.2.1.7	ERG	ERG	7	ERG	PTHR11849	SF216	TRANSCRIPTIONAL_REGULATOR_ERG
ESR1	estrogen_receptor_1		P03372	ENSG00000091831	1	1	ESR1	a	ESR1	ESR1	ESR1	2.1.1.2.1	ESR1	ESR1	7	ESR1	PTHR48092	SF16	ESTROGEN_RECEPTOR
ESR2	estrogen_receptor_2		Q92731	ENSG00000140009	1	1	ESR2	a	ESR2	ESR2	ESR2	2.1.1.2.2	ESR2	ESR2	7		PTHR48092	SF12	ESTROGEN_RECEPTOR_BETA
ESRRA	estrogen_related_receptor_alpha		P11474	ENSG00000173153	1	1	ESRRA	a	ESRRA	ESRRA	ESRRA	2.1.1.2.3	ESRRA	ESRRA	7	ESRRA	PTHR48092	SF15	STEROID_HORMONE_RECEPTOR_ERR1
ESRRB	estrogen_related_receptor_beta		O95718	ENSG00000119715	1	1	ESRRB	a	ESRRB	ESRRB	ESRRB	2.1.1.2.4	ESRRB	ESRRB	7	ESRRB	PTHR48092	SF7	STEROID_HORMONE_RECEPTOR_ERR2
ESRRG	estrogen_related_receptor_gamma		P62508	ENSG00000196482	1	1	ESRRG	a	ESRRG	ESRRG	ESRRG	2.1.1.2.5	ESRRG	ESRRG	7	ESRRG	PTHR48092	SF10	ESTROGEN-RELATED_RECEPTOR_GAMMA
ESX1	ESX_homeobox_1		Q8N693	ENSG00000123576	1	1	ESX1	b	ESX1	ESX1	ESX1	3.1.3.8.1	ESX1	ESX1	7	ESX1	PTHR24329	SF545	HOMEOBOX_PROTEIN_ESX1
ETS1	ETS_proto-oncogene_1,_transcription_factor		P14921	ENSG00000134954	1	1	ETS1	a	ETS1	ETS1	ETS1	3.5.2.1.1	ETS1	ETS1	7		PTHR11849	SF209	PROTEIN_C-ETS-1
ETS2	ETS_proto-oncogene_2,_transcription_factor		P15036	ENSG00000157557	1	1	ETS2	a	ETS2	ETS2	ETS2	3.5.2.1.2	ETS2	ETS2	7	ETS2	PTHR11849	SF188	PROTEIN_C-ETS-2
ETV1	ETS_variant_transcription_factor_1		P50549	ENSG00000006468	1	1	ETV1	a	ETV1	ETV1	ETV1	3.5.2.2.4	ETV1	ETV1	7	ETV1	PTHR11849	SF196	ETS_TRANSLOCATION_VARIANT_1
ETV2	ETS_variant_transcription_factor_2		O00321	ENSG00000105672	1	1	ETV2	a	ETV2	ETV2	ETV2	3.5.2.1.4	ETV2	ETV2	7	ETV2	PTHR11849	SF206	ETS_TRANSLOCATION_VARIANT_2
ETV3	ETS_variant_transcription_factor_3		P41162	ENSG00000117036	1	1	ETV3	a	ETV3	ETV3	ETV3	3.5.2.1.9	ETV3	ETV3	7	ETV3	PTHR11849	SF30	ETS_TRANSLOCATION_VARIANT_3
ETV3L	ETS_variant_transcription_factor_3_like		Q6ZN32	ENSG00000253831	1	1	ETV3L	b		ETV3L	ETV3L	3.5.2.1.10	ETV3L	ETV3L	6		PTHR11849	SF294	ETS_TRANSLOCATION_VARIANT_3-LIKE_PROTEIN
ETV4	ETS_variant_transcription_factor_4		P43268	ENSG00000175832	1	1	ETV4	a	ETV4	ETV4	ETV4	3.5.2.2.5	ETV4	ETV4	7	ETV4	PTHR11849	SF181	ETS_TRANSLOCATION_VARIANT_4
ETV5	ETS_variant_transcription_factor_5		P41161	ENSG00000244405	1	1	ETV5	a	ETV5	ETV5	ETV5	3.5.2.2.6	ETV5	ETV5	7	ETV5	PTHR11849	SF160	ETS_TRANSLOCATION_VARIANT_5
ETV6	ETS_variant_transcription_factor_6		P41212	ENSG00000139083	1	1	ETV6	a	ETV6	ETV6	ETV6	3.5.2.6.1	ETV6	ETV6	7		PTHR11849	SF19	TRANSCRIPTION_FACTOR_ETV6
ETV7	ETS_variant_transcription_factor_7		Q9Y603	ENSG00000010030	1	1	ETV7	a	ETV7	ETV7	ETV7	3.5.2.6.2	ETV7	ETV7	7	ETV7	PTHR11849	SF77	TRANSCRIPTION_FACTOR_ETV7
EVX1	even-skipped_homeobox_1		P49640	ENSG00000106038	1	1	EVX1	b		EVX1	EVX1	3.1.1.10.1	EVX1	EVX1	6	EVX1	PTHR46294	SF2	HOMEOBOX_EVEN-SKIPPED_HOMOLOG_PROTEIN_1
EVX2	even-skipped_homeobox_2		Q03828	ENSG00000174279	1	1	EVX2	b		EVX2	EVX2	3.1.1.10.2	EVX2	EVX2	6	EVX2	PTHR46294	SF1	HOMEOBOX_EVEN-SKIPPED_HOMOLOG_PROTEIN_2
FERD3L	Fer3_like_bHLH_transcription_factor		Q96RJ6	ENSG00000146618	1	1	FERD3L	c	FERD3L	FERD3L	FERD3L	1.2.3.4.17	FERD3L	FERD3L	7	FERD3L	PTHR23349	SF63	FER3-LIKE_PROTEIN
FEV	FEV_transcription_factor,_ETS_family_member		Q99581	ENSG00000163497	1	1	FEV	a	FEV	FEV	FEV	3.5.2.1.8	FEV	FEV	7	FEV	PTHR11849	SF203	PROTEIN_FEV
FEZF1	FEZ_family_zinc_finger_1		A0PJY2	ENSG00000128610	1	1	FEZF1	c	FEZF1	FEZF1	FEZF1	2.3.3.20.1	FEZF1	FEZF1	7		PTHR24390	SF70	FEZ_FAMILY_ZINC_FINGER_PROTEIN_1
FEZF2	FEZ_family_zinc_finger_2		Q8TBJ5	ENSG00000153266	1	1	FEZF2	c	FEZF2	FEZF2	FEZF2	2.3.3.20.2	FEZF2	FEZF2	7		PTHR16515	SF35	FEZ_FAMILY_ZINC_FINGER_PROTEIN_2
FIGLA	folliculogenesis_specific_bHLH_transcription_factor		Q6QHK4	ENSG00000183733	1	1	FIGLA	a	FIGLA	FIGLA	FIGLA	1.2.3.2.8	FIGLA	FIGLA	7	FIGLA	PTHR23349	SF57	FACTOR_IN_THE_GERMLINE_ALPHA
FLI1	Fli-1_proto-oncogene,_ETS_transcription_factor		Q01543	ENSG00000151702	1	1	FLI1	a	FLI1	FLI1	FLI1	3.5.2.1	FLI1	FLI1	7	FLI1	PTHR11849	SF161	FRIEND_LEUKEMIA_INTEGRATION_1_TRANSCRIPTION_FACTOR
FOS	Fos_proto-oncogene,_AP-1_transcription_factor_subunit		P01100	ENSG00000170345	1	1	FOS	a	FOS	FOS	FOS	1.1.2.1.1	FOS	FOS	7	FOS	PTHR23351	SF4	PROTO-ONCOGENE_C-FOS
FOSB	FosB_proto-oncogene,_AP-1_transcription_factor_subunit		P53539	ENSG00000125740	1	1	FOSB	a	FOSB	FOSB	FOSB	1.1.2.1.2	FOSB	FOSB	7	FOSB	PTHR23351	SF3	PROTEIN_FOSB
FOSL1	FOS_like_1,_AP-1_transcription_factor_subunit		P15407	ENSG00000175592	1	1	FOSL1	a	FOSL1	FOSL1	FOSL1	1.1.2.1.3	FOSL1	FOSL1	7	FOSL1	PTHR23351	SF6	FOS-RELATED_ANTIGEN_1
FOSL2	FOS_like_2,_AP-1_transcription_factor_subunit		P15408	ENSG00000075426	1	1	FOSL2	a	FOSL2	FOSL2	FOSL2	1.1.2.1.4	FOSL2	FOSL2	7		PTHR23351	SF25	FOS-RELATED_ANTIGEN_2
FOXA1	forkhead_box_A1		P55317	ENSG00000129514	1	1	FOXA1	a	FOXA1	FOXA1	FOXA1	3.3.1.1.1	FOXA1	FOXA1	7	FOXA1	PTHR11829	SF195	HEPATOCYTE_NUCLEAR_FACTOR_3-ALPHA
FOXA2	forkhead_box_A2		Q9Y261	ENSG00000125798	1	1	FOXA2	a	FOXA2	FOXA2	FOXA2	3.3.1.1.2	FOXA2	FOXA2	7	FOXA2	PTHR11829	SF167	HEPATOCYTE_NUCLEAR_FACTOR_3-BETA
FOXA3	forkhead_box_A3		P55318	ENSG00000170608	1	1	FOXA3	a	FOXA3	FOXA3	FOXA3	3.3.1.1.3	FOXA3	FOXA3	7	FOXA3	PTHR11829	SF201	HEPATOCYTE_NUCLEAR_FACTOR_3-GAMMA
FOXB1	forkhead_box_B1		Q99853	ENSG00000171956	1	1	FOXB1	a	FOXB1	FOXB1	FOXB1	3.3.1.2.1	FOXB1	FOXB1	7	FOXB1	PTHR11829	SF209	FORKHEAD_BOX_PROTEIN_B1
FOXB2	forkhead_box_B2		Q5VYV0	ENSG00000204612	1	1	FOXB2		FOXB2	FOXB2	FOXB2	3.3.1.2.2	FOXB2	FOXB2	6		PTHR11829	SF215	FORKHEAD_BOX_PROTEIN_B2
FOXC1	forkhead_box_C1		Q12948	ENSG00000054598	1	1	FOXC1	a	FOXC1	FOXC1	FOXC1	3.3.1.3.1	FOXC1	FOXC1	7		PTHR11829	SF68	FORKHEAD_BOX_PROTEIN_C1
FOXC2	forkhead_box_C2		Q99958	ENSG00000176692	1	1	FOXC2	b	FOXC2	FOXC2	FOXC2	3.3.1.3.2	FOXC2	FOXC2	7	FOXC2	PTHR11829	SF189	FORKHEAD_BOX_PROTEIN_C2
FOXD1	forkhead_box_D1		Q16676	ENSG00000251493	1	1	FOXD1		FOXD1	FOXD1	FOXD1	3.3.1.4.1	FOXD1	FOXD1	6		PTHR11829	SF348	FORKHEAD_BOX_PROTEIN_D1
FOXD2	forkhead_box_D2		O60548	ENSG00000186564	1	1	FOXD2	b	FOXD2	FOXD2	FOXD2	3.3.1.4.2	FOXD2	FOXD2	7	FOXD2	PTHR11829	SF361	FORKHEAD_BOX_PROTEIN_D2
FOXD3	forkhead_box_D3		Q9UJU5	ENSG00000187140	1	1	FOXD3	a	FOXD3	FOXD3	FOXD3	3.3.1.4.3	FOXD3	FOXD3	7	FOXD3	PTHR11829	SF162	FORKHEAD_BOX_PROTEIN_D3
FOXD4	forkhead_box_D4		Q12950	ENSG00000170122	1	1	FOXD4	b	FOXD4	FOXD4	FOXD4	3.3.1.4.4	FOXD4	FOXD4	7		PTHR11829		
FOXD4L1	forkhead_box_D4_like_1		Q9NU39	ENSG00000184492	1	1	FOXD4L1	b	FOXD4L1	FOXD4L1	FOXD4L1	3.3.1.4.5	FOXD4L1	FOXD4L1	7		PTHR11829		
FOXD4L3	forkhead_box_D4_like_3		Q6VB84	ENSG00000187559	1	1	FOXD4L3	b	FOXD4L3	FOXD4L3	FOXD4L3	3.3.1.4.7	FOXD4L3	FOXD4L3	7		PTHR11829	SF350	FORKHEAD_BOX_PROTEIN_D4-RELATED
FOXD4L4	forkhead_box_D4_like_4		Q8WXT5	ENSG00000184659	1	1	FOXD4L4	b		FOXD4L4	FOXD4L4	3.3.1.4.8	FOXD4L4	FOXD4L4	6		PTHR11829		
FOXD4L5	forkhead_box_D4_like_5		Q5VV16	ENSG00000204779	1	1	FOXD4L5		FOXD4L5	FOXD4L5	FOXD4L5	3.3.1.4.9	FOXD4L5	FOXD4L5	6		PTHR11829		
FOXD4L6	forkhead_box_D4_like_6		Q3SYB3	ENSG00000273514	1	1	FOXD4L6	b	FOXD4L6	FOXD4L6	FOXD4L6	3.3.1.4.10	FOXD4L6	FOXD4L6	7		PTHR11829		
FOXE1	forkhead_box_E1		O00358	ENSG00000178919	1	1	FOXE1	a	FOXE1	FOXE1	FOXE1	3.3.1.5.1	FOXE1	FOXE1	7	FOXE1	PTHR11829	SF156	FORKHEAD_BOX_PROTEIN_E1
FOXE3	forkhead_box_E3		Q13461	ENSG00000186790	1	1	FOXE3	b	FOXE3	FOXE3	FOXE3	3.3.1.5.2	FOXE3	FOXE3	7		PTHR11829	SF311	FORKHEAD_BOX_PROTEIN_E3
FOXF1	forkhead_box_F1		Q12946	ENSG00000103241	1	1	FOXF1	b	FOXF1	FOXF1	FOXF1	3.3.1.6.1	FOXF1	FOXF1	7		PTHR46262	SF1	FORKHEAD_BOX_PROTEIN_F1
FOXF2	forkhead_box_F2		Q12947	ENSG00000137273	1	1	FOXF2	b	FOXF2	FOXF2	FOXF2	3.3.1.6.2	FOXF2	FOXF2	7		PTHR46262	SF3	FORKHEAD_BOX_PROTEIN_F2
FOXG1	forkhead_box_G1		P55316	ENSG00000176165	1	1	FOXG1	a	FOXG1	FOXG1	FOXG1	3.3.1.7.1	FOXG1	FOXG1	7	FOXG1	PTHR46617	SF3	FORKHEAD_BOX_PROTEIN_G1
FOXH1	forkhead_box_H1		O75593	ENSG00000160973	1	1	FOXH1	a	FOXH1	FOXH1	FOXH1	3.3.1.8.1	FOXH1	FOXH1	7		PTHR47316	SF1	FORKHEAD_BOX_PROTEIN_H1
FOXI1	forkhead_box_I1		Q12951	ENSG00000168269	1	1	FOXI1	a	FOXI1	FOXI1	FOXI1	3.3.1.9.1	FOXI1	FOXI1	7	FOXI1	PTHR11829	SF180	FORKHEAD_BOX_PROTEIN_I1
FOXI2	forkhead_box_I2		Q6ZQN5	ENSG00000186766	1	1	FOXI2	c	FOXI2	FOXI2	FOXI2	3.3.1.9.2	FOXI2	FOXI2	7		PTHR11829	SF310	FORKHEAD_BOX_PROTEIN_I2
FOXI3	forkhead_box_I3		A8MTJ6	ENSG00000214336	1	1	FOXI3	b		FOXI3	FOXI3	3.3.1.9	FOXI3	FOXI3	6		PTHR11829	SF137	FORKHEAD_BOX_PROTEIN_I3
